ROUTE_CATEGORY,ROUTE_SHORT_NAME,ROUTE_LONG_NAME,COMMON_NAME
REGULAR,8,North Pointe / Foothills Medical Centre,north pointe
REGULAR,8,North Pointe / Foothills Medical Centre,foothills medical centre
BRT,300,BRT Airport / City Centre,brt airport
BRT,300,BRT Airport / City Centre,city centre
REGULAR,90,Bridgeland / University of Calgary,bridgeland
REGULAR,90,Bridgeland / University of Calgary,university of calgary
REGULAR,149,Point Trotter,point trotter
REGULAR,96,McKenzie,mckenzie
REGULAR,15,Millrise,millrise
MAX,304,MAX Yellow,max yellow
REGULAR,408,Valley Ridge,valley ridge
REGULAR,444,Chaparral Valley/ Walden,chaparral valley
REGULAR,444,Chaparral Valley/ Walden,walden
REGULAR,49,Forest Heights,forest heights
REGULAR,88,Harvest Hills,harvest hills
REGULAR,169,Rocky Ridge,rocky ridge
REGULAR,454,Springbank Hill,springbank hill
REGULAR,86,Coventry Hills,coventry hills
REGULAR,449,Eau Claire - Parkhill,parkhill
REGULAR,449,Eau Claire - Parkhill,eau claire
REGULAR,30,Highfield Industrial,highfield industrial
REGULAR,158,Royal Oak,royal oak
REGULAR,91,Foothills Medical Centre,foothills medical centre
REGULAR,61,Martindale,martindale
REGULAR,159,Saddlebrook,saddlebrook
REGULAR,98,Cougar Ridge,cougar ridge
REGULAR,155,West Dover / Forest Lawn,west dover
REGULAR,155,West Dover / Forest Lawn,forest lawn
REGULAR,152,New Brighton,new brighton
REGULAR,167,Walden - Legacy CCW,walden
REGULAR,167,Walden - Legacy CCW,legacy ccw
REGULAR,34,Pineridge,pineridge
REGULAR,27,Willowglen,willowglen
REGULAR,60,Taradale,taradale
REGULAR,135,36 Street SE / Erin Woods,36 street se
REGULAR,135,36 Street SE / Erin Woods,erin woods
REGULAR,82,Nolan Hill,nolan hill
REGULAR,35,Bonavista/Canyon Meadows,bonavista
REGULAR,35,Bonavista/Canyon Meadows,canyon meadows
REGULAR,21,Castleridge,castleridge
REGULAR,69,Deerfoot Centre,deerfoot centre
REGULAR,114,Panorama/Country Hills,panorama
REGULAR,114,Panorama/Country Hills,country hills
REGULAR,97,South Ranchlands-Scenic Acres,scenic acres
REGULAR,97,South Ranchlands-Scenic Acres,south ranchlands
REGULAR,111,Old Banff Coach Road,old banff coach road
REGULAR,89,Lions Park,lions park
REGULAR,29,Queensland,queensland
REGULAR,123,Sage Hill / North Pointe,sage hill
REGULAR,123,Sage Hill / North Pointe,north pointe
REGULAR,40,Crowfoot/North Hill,crowfoot
REGULAR,40,Crowfoot/North Hill,north hill
REGULAR,77,Edgemont,edgemont
REGULAR,161,North Pointe - Stoney Industrial,stoney industrial
REGULAR,161,North Pointe - Stoney Industrial,north pointe
REGULAR,421,Panatella,panatella
REGULAR,147,Starfield,starfield
REGULAR,299,Arbour Lake,arbour lake
REGULAR,68,68 Street East,68 street east
REGULAR,54,Edgevalley,edgevalley
REGULAR,10,City Hall - Southcentre,city hall
REGULAR,10,City Hall - Southcentre,southcentre
REGULAR,37,Heritage / Canyon Meadows,heritage
REGULAR,37,Heritage / Canyon Meadows,canyon meadows
REGULAR,94,Strathcona / Westbrook,strathcona
REGULAR,94,Strathcona / Westbrook,westbrook
REGULAR,71,Taradale,taradale
REGULAR,127,Maryvale/ Franklin Industrial,maryvale
REGULAR,127,Maryvale/ Franklin Industrial,franklin industrial
REGULAR,44,Deer Ridge / Avenida,deer ridge
REGULAR,44,Deer Ridge / Avenida,avenida
SPECIAL,555,Dashmesh Centre,dashmesh centre
REGULAR,53,Brentwood-Greenwood,greenwood
REGULAR,53,Brentwood-Greenwood,brentwood
REGULAR,57,Monterey Park/ McCall Way,monterey park
REGULAR,57,Monterey Park/ McCall Way,mccall way
REGULAR,83,Parkland,parkland
REGULAR,174,Tuscany,tuscany
REGULAR,59,Savanna,savanna
REGULAR,156,Aspen Woods,aspen woods
REGULAR,46,Beddington,beddington
REGULAR,28,Deer Run,deer run
REGULAR,81,Macleod Trail,macleod trail
REGULAR,101,Inglewood,inglewood
MAX,307,MAX Purple,max purple
